"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Age dependency ratio (% of working-age population)","SP.POP.DPND","86.3241106719368","84.9906567004805","83.8800405533571","82.7809658907731","81.4225728464181","79.7555625195863","78.3308614509949","76.3571189890337","74.1721854304636","72.156425891182","70.416642622194","67.9190914740946","65.9778659196183","64.230412736492","62.2343134364363","59.8297805064425","58.5315435539158","56.6158156911582","54.2605615728145","51.9519671674309","50.0711699338244","48.8425243291065","47.9761675028946","47.4831061055127","47.1775893568183","46.7256431148877","47.5886441276947","48.0001914837598","47.8982033028234","47.6021185518392","47.49970333452","45.9361803030645","44.8818396076183","44.3037974683544","43.9429482968941","43.5382416011437","43.9869857916688","44.2454422687373","44.3430083519391","44.3808195178925","44.4243089004403","44.2515527950311","44.0473121540678","43.7714878482513","43.4005286548349","42.9892648341124","43.1500042590647","43.4889852853619","43.9918736148207","44.5899723512812","45.2684069898695","45.1740472566397","44.9769624332193","44.7385400886495","44.5814180247945","44.5927219312103","44.6079986756246","44.9198744424252",
"Afghanistan","AFG","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.6046840714521","82.6573654538546","83.2205554958709","83.483269820821","83.6780606007528","83.9030302581715","85.0703652796564","86.086317853155","86.9536886888952","87.6279671154072","88.092821411847","89.3156708954115","90.2019067992905","90.8100170078522","91.1747428928196","91.2669698105847","92.2671042987318","93.088379622693","93.6883939137488","93.9324014881851","93.6462476533034","94.7408158287516","95.6203901346888","96.3107095791176","96.9845963669304","97.9047347117016","98.706247226284","99.0688410380731","99.2902428684535","99.7900082680322","101.018259850238","100.96564733016","100.870231727519","100.902317661547","100.887270633256","100.510118469483","101.294946055585","102.0432616212","102.595062024335","102.975878585677","103.326360073965","102.92777291639","102.153958897486","101.200485082543","100.159030259816","99.0118309442354","99.6320290466377","100.231023134586","100.656496083108","100.740812582094","100.406411520766","98.7307589652135","96.5285898367748","94.0017341230592","91.3762048564238","88.7687273393836","86.5709321507136","84.5872779704028",
"Angola","AGO","Age dependency ratio (% of working-age population)","SP.POP.DPND","89.6825180743829","91.4510618784023","93.6652702619274","95.8591772457635","97.2235124132924","97.3927152456964","98.5746165812387","98.4572297267197","97.5071342806956","96.4435333286411","95.6601179842713","96.0604613737398","96.4291963463038","96.7826748098406","97.0115900520236","97.073909395263","98.2193368919668","98.9930657018266","99.5044630480203","99.8690671712472","100.150708671442","101.355064431612","102.114340603735","102.547289291155","102.722575610772","102.625662173993","103.360700626541","103.84953508952","104.033690284007","103.868247936882","103.398593657723","103.81439050898","103.651064302903","103.110267242895","102.373616469909","101.495834305933","101.517625382659","101.26399389418","100.788061436468","100.161160334328","99.4784247816902","99.5078343454235","99.3468828696542","99.0752696615242","98.7427587797984","98.3740314163323","98.6938456033503","98.8351051177082","98.8433333208444","98.739385296868","98.5299149917153","98.6998826354154","98.6098973076791","98.349429018528","97.9975964155112","97.5761986937093","97.2742116775173","96.8985180613422",
"Albania","ALB","Age dependency ratio (% of working-age population)","SP.POP.DPND","83.7067495829256","84.9507704239226","86.2370265090712","87.4302302706784","88.2833962800709","88.6430241297929","88.841840508951","88.4553765322314","87.64153578212","86.6288931523552","85.5399086323172","84.2384617910908","83.0058096797537","81.7236094506481","80.2356284947585","78.5124310489322","77.0341247038661","75.283492411727","73.4350723033327","71.712234330745","70.2131169993534","68.8951354137689","67.7608393470754","66.7651791284931","65.842563053976","64.9816780512235","64.2666778256139","63.6489799817437","63.0983504537148","62.5214735540469","61.8083905920442","62.5208823157754","63.1124301493563","63.5404188127221","63.874370693716","64.2040739586526","63.1592934163748","62.2426341564471","61.4126164277618","60.5583843646593","59.585813978959","58.5679635169215","57.4458862172086","56.2423892890536","55.0221373205264","53.8213141197539","52.6144730816267","51.6214204543714","50.7912242410847","50.1056244507272","49.5647611038032","48.1024525249909","46.8200639844493","45.6758037831245","44.7113390701542","44.0166438612638","44.0015401014685","44.0595057133346",
"Andorra","AND","Age dependency ratio (% of working-age population)","SP.POP.DPND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Age dependency ratio (% of working-age population)","SP.POP.DPND","88.2058102041107","89.6447342161671","90.9444984065416","92.0636312302324","92.8928810256546","93.3644592182944","94.2417762782682","94.6334458257547","94.6855128574872","94.5636130374136","94.3359977897322","94.5977173267513","94.6187250683932","94.4582200960042","94.182433231449","93.8510717356103","93.6827381393181","93.4365492669836","93.118514821308","92.7013287709092","92.167884202756","91.8822394948944","91.4361946978695","90.8759821306912","90.2631918706709","89.6285864725375","89.3781629139709","89.0248431468845","88.5898874736913","88.0443145798341","87.4813398865698","86.7261782925178","86.0581180690568","84.9067498061564","83.5981421599692","81.9464190070822","80.5768076612983","79.1426598702933","77.675807259833","76.1978668610219","74.7148124657176","73.2195167125996","71.747229015842","70.3090971016105","68.9206181109492","67.60287661057","66.418678595391","65.2754520648483","64.2352931711411","63.3650268619003","62.6947151615853","62.3416961742781","62.1688542533565","62.1181878490802","62.0898579615104","62.0172343927312","62.0574752897263","61.9161803533744",
"United Arab Emirates","ARE","Age dependency ratio (% of working-age population)","SP.POP.DPND","92.7505774152604","87.68893675493","82.4540912335345","77.4859711365853","72.9969029422049","68.9783441781014","65.2773486580568","62.2902072909221","60.0269049678101","58.3990674179134","57.4391132563628","51.0884232088569","46.5418914455576","43.6958889142146","42.3316514329369","42.1518545872312","40.5539224951714","39.7970643470461","40.0079510582793","40.8059916939787","41.7320564924585","43.1596532187613","44.6188504360893","46.2082194721821","47.8868705449529","49.5124635637452","49.7945208963956","49.617882998957","49.1195649922507","48.3460162129102","47.3171774768354","45.6818114591653","44.062420819275","42.4756393284542","40.9331285321249","39.4859771827685","38.7833582180593","38.0488251321557","37.5858837696218","37.3642750887671","37.1311226372572","33.2204882007276","29.9445984303197","27.3563913172811","25.3985412664178","23.9672781707393","21.2960222690918","19.3445167884123","18.0458329480818","17.1633525829405","16.4518493122235","16.7669786206417","16.9243908155179","17.0444551906063","17.2021292829117","17.3824550434515","17.6081783608388","17.7016699355506",
"Argentina","ARG","Age dependency ratio (% of working-age population)","SP.POP.DPND","56.9972360546393","57.1859711079849","57.299959942887","57.3392514636326","57.3044786565635","57.2046631605295","57.2410560284872","57.1964159095732","57.1085589539765","57.035651423237","57.0204709056961","57.1624668528683","57.3463726929484","57.5792923259322","57.8762626419644","58.2545358512101","59.0267190622372","59.9540976262449","60.9604244136761","61.9065988181701","62.7014310905809","63.7051832450343","64.263123422145","64.555405663829","64.8326957369063","65.1992015758863","65.2473935866503","65.5602949641014","65.9188325432118","66.0186137473248","65.7459279501314","65.6463725156289","65.1557968418604","64.4296226632014","63.702701384017","63.0820836870215","62.645077198558","62.2339802294766","61.8473275931558","61.4481352792596","61.0212945533561","60.5354367384112","60.1154591531869","59.7172246374754","59.2850431285047","58.8036210100758","58.4889140384253","58.0597317705398","57.5938881852826","57.2013885399755","56.9329417460641","56.7477315594452","56.6734066261907","56.662585354836","56.6338758998341","56.5490070488899","56.5422464275751","56.4547646794728",
"Armenia","ARM","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.8277074488315","84.786697199681","87.045748592172","88.5968177081253","89.5100564113211","89.7750658668246","89.3627978721103","88.1474212541424","86.2659918764526","83.9714391142809","81.471092578778","78.1316492885971","75.1560421434392","72.4006423761052","69.6522850711944","66.8552711174254","64.7009302113495","62.3865880649088","60.1524151273857","58.2690252386022","56.8126136034234","55.7903009020529","55.1742383494912","54.8588451313046","54.6751210225446","54.5483311142058","54.493804546384","54.5214856514631","54.698627657837","55.0469507238803","55.4625762612071","56.4991613049265","57.6187676947475","58.7144831830317","59.651220286556","60.35572559109","59.9963942653669","59.2011199158539","58.0987971267747","56.9175945869062","55.8282775415221","54.4138191448222","53.3560797337155","52.4550991375478","51.407576201767","50.0628185600657","48.8859096609518","47.3785657470212","45.8042340191496","44.5377478486343","43.7904195058082","43.4586351384183","43.4261564233465","43.6550680516293","44.016650354935","44.4122587662516","44.8949433189816","45.431545263208",
"American Samoa","ASM","Age dependency ratio (% of working-age population)","SP.POP.DPND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
