"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","4.62622443718852","4.78176721836626","4.94816365241848","5.11960796956606","5.31556177630742","5.53431526167346","5.76875540724262","5.99046143564507","6.22576218602709","6.50504221388368","6.82382133995037","7.32244759590937","7.86064959920118","8.41011940461262","8.90937843415798","9.35943716898105","9.57950650234189","9.77584059775841","9.93532159540065","10.1005750766347","10.280933949307","10.3976211540352","10.5171748359707","10.6105512744517","10.6993956996299","10.7368175998138","10.8940982447874","11.0342516575313","11.1409753498959","11.231226873685","11.2922748309007","10.7879225853075","10.3934433191074","10.1245919910835","9.97466453973914","9.92137240886347","10.0600522645069","10.227886563133","10.4357892995948","10.670603121046","10.9479072281304","11.1909937888199","11.4595496246872","11.7427385892116","12.0210880994568","12.2846891662021","12.7672563105142","13.2431742791528","13.7495027561516","14.3017985919106","14.9456327603698","15.3648093090744","15.8294937388699","16.3482578690456","16.9215768212843","17.5494027327402","18.229475630113","18.9630486260257",
"Afghanistan","AFG","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.08220945090748","5.12818724585573","5.13514912317159","5.10791866728996","5.05268633590491","4.97303928825201","5.02118250128517","5.04288049577905","5.03621360260556","4.99878999080393","4.93045917064932","4.96812855490471","4.97488760554499","4.95447095839033","4.91124208942756","4.84831764848148","4.88594139433828","4.88805117761774","4.85401237710972","4.78326059912159","4.6757071369395","4.7367058790183","4.74546853845559","4.69428942976376","4.57506133737971","4.37662708476797","4.46067485205849","4.51668774270834","4.53847741191281","4.51746006866165","4.44618909916464","4.47257034176662","4.50538983065458","4.54824159386695","4.60271252833935","4.67085028773974","4.68123631568331","4.67150722104197","4.64663784970848","4.61211910920513","4.57158977968561","4.52081657509502","4.47117746264254","4.42657883864917","4.38843184528878","4.35758533223916","4.42029270991472","4.47336316799143","4.5204047589956","4.56695004018496","4.61593064140117","4.64510738723287","4.67289504224471","4.69539312882778","4.70691819475529","4.70626850044646","4.74180762388334","4.7633228148784",
"Angola","AGO","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","4.82254685356666","4.92868785520463","5.00675312292731","5.05258517724511","5.05924647303119","5.02348678713098","5.09184646821699","5.11503412910156","5.10247146136347","5.06617583128638","5.01310439075772","5.06516556658764","5.09811445708413","5.11361977203583","5.11163177737063","5.09312713604204","5.15227470636507","5.19059163508372","5.21110517244829","5.21663589363564","5.20915422939097","5.25361091683625","5.27973460216269","5.28983364366665","5.28494285993821","5.26660381711698","5.29654045907112","5.30023386350875","5.28109201034171","5.24256853331568","5.18695248055075","5.18674826529317","5.16587509524297","5.12806020087162","5.07671710082011","5.01452157322433","5.01401619795944","4.99444519214006","4.95865371154377","4.90883937201432","4.8467257044323","4.84420647509845","4.82854952138436","4.80185670042628","4.76557882882646","4.72152008410371","4.71729242751303","4.70704006836136","4.68848707534143","4.65692309997365","4.61275967013415","4.59061665838701","4.55451494911206","4.52354836521788","4.52104092565951","4.55672716578099","4.63484591353581","4.7345311645549",
"Albania","ALB","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","9.93944570496139","9.96993630686807","10.0664604039861","10.1866729050472","10.272928336203","10.2957019976146","10.2043694826651","10.0581492897925","9.89022307050646","9.74224955622097","9.63548499766281","9.54635367588174","9.47644350675892","9.41630910116618","9.35128539623304","9.27705951300188","9.23764878702124","9.18451954652372","9.12521651801856","9.06984767924353","9.023407514994","9.00205879236927","8.98322619362512","8.96486857968485","8.94047165647338","8.90877978881763","8.89261216100622","8.86550831086675","8.84555635660013","8.8546061654526","8.90370492907403","9.1942386200707","9.52098684065112","9.87205759840437","10.2295799243249","10.5834842159214","10.7316804356637","10.8653181666157","10.9962806060615","11.1373189844796","11.2899942758306","11.6260536271407","11.9823615773436","12.3530352119228","12.7293818194855","13.1083031716504","13.624981768148","14.1690634958072","14.7403055205094","15.3381571917432","15.9624391451101","16.3709828299291","16.7648369003989","17.1486480502699","17.5635875499634","18.0549299415025","18.4810173481716","18.9978903376663",
"Andorra","AND","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","6.60274556374436","6.71431262352961","6.80904285724775","6.88477814628338","6.93744936707007","6.96551003920138","7.03337839719147","7.0705259637216","7.08547282245419","7.08753023323521","7.08192339573659","7.12104583510089","7.14446158736621","7.15067239890778","7.13679569182097","7.10370679844783","7.08650132308792","7.04985838007843","7.00058869415609","6.94535376255512","6.88863636518661","6.86245269429549","6.82827957766115","6.78995683801753","6.75140025872696","6.71597833714856","6.71873941751862","6.71988711974011","6.72413419156773","6.7347167150005","6.73251809748213","6.78084775154971","6.87209344706523","6.90916114081667","6.94144048296085","6.93159691710332","6.96368353997424","6.98445012923668","6.99704829471308","7.00198947183087","6.99987521925162","6.98657780331697","6.96514402335386","6.93634737723826","6.8994514740317","6.85635667674224","6.81589278771793","6.76820027235243","6.72337243701829","6.69194067195831","6.68053685025314","6.70122843661228","6.73190461250903","6.77647712981944","6.84070435363343","6.92825980542579","7.05099352083726","7.19046177972777",
"United Arab Emirates","ARE","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","6.60438211365197","5.95127567125933","5.36629680098631","4.82847329215373","4.33463209950547","3.85129743883663","3.42952480998579","3.05646890636169","2.73679429055618","2.4682339226734","2.25362846885634","1.82189635458157","1.68314433557195","1.73589629484911","1.89900746739619","2.11564500246184","2.03636474240736","2.01235179250483","2.02702702702703","2.04589017594094","2.03804144611339","2.00556341733804","1.9359591897274","1.8644447504078","1.81897716884734","1.80708776515705","1.76969450309058","1.75490060739923","1.75510641497744","1.75721521810385","1.75140571790607","1.6996480018931","1.63991695818982","1.57727159187799","1.51845813255673","1.46525154035394","1.45799663381451","1.47128825152607","1.49475207931678","1.50954602373129","1.50430549802383","1.39928231456956","1.30599206156603","1.23049883634577","1.17572319338542","1.13952525195105","1.02399874123172","0.948999543083801","0.904108322460679","0.8811558995051","0.873936162348894","0.946673589003824","1.02370633030589","1.09764635230548","1.15818746594583","1.19948242635917","1.27508080349921","1.34626095109496",
"Argentina","ARG","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","8.75886670626037","8.99245535617499","9.21495373924393","9.43031737763839","9.64312389333355","9.85665087616274","10.1069173204251","10.3465748594348","10.5774381405528","10.8018581653162","11.0224593159588","11.2666546740479","11.4970830577613","11.7149366783236","11.9208201277305","12.1159453724756","12.3939044652335","12.6585195219878","12.9092394804419","13.14315971558","13.3596433776039","13.5715561412204","13.7540429147658","13.9170752934132","14.0722708934692","14.2260800568147","14.4182284904025","14.5943218316487","14.753213643415","14.8909618399501","15.0057776057792","15.174760249064","15.3110097154651","15.4187070182471","15.5032403628752","15.5696893594841","15.6941097111049","15.7947280656608","15.8729804302387","15.9275241599056","15.9597674581397","16.0134868327899","16.0399395193836","16.0485476524335","16.050575135841","16.0554443080879","16.10308174235","16.1433048416149","16.1868070967065","16.2457050261097","16.3284589732925","16.4639479922784","16.6094863680414","16.7654856764147","16.9304902092155","17.1050168354733","17.3148621458519","17.5205036799048",
"Armenia","ARM","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","11.542506539169","11.2731353255935","10.9912970633406","10.7179038413357","10.4826105586797","10.3009706238253","10.2307765266544","10.1918374569673","10.1668461211457","10.1340500196451","10.0845741324468","10.0409377617983","9.95874341550066","9.85794387534294","9.75993296472085","9.673075801672","9.66348236474317","9.65331286113818","9.61744476247316","9.51844582989235","9.34511309880039","9.15924193506882","8.92417336328286","8.68112005814509","8.48266469446486","8.36208006834357","8.26306414789115","8.21439634442218","8.25237147258626","8.42561407723786","8.75558846080333","9.50741342153212","10.4373830269601","11.4774174701658","12.5060106351169","13.4398901901835","14.0502449526028","14.4664774733804","14.7762895846599","15.1282155484212","15.6072559729076","16.1056996329283","16.740895753247","17.3740270132641","17.786206656437","17.8570314002197","17.7238396611732","17.288034928003","16.6966308133035","16.1602863750677","15.8077404556119","15.587684905763","15.5138348772882","15.5513884875728","15.6414722679914","15.7542761267146","16.0315905709814","16.3355588056196",
"American Samoa","ASM","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","7.77280550774527","7.72927241962775","7.6585851876453","7.58892251618992","7.52315183146103","7.44307415116026","7.4365413124376","7.43599563974899","7.40878843506196","7.37192021900665","7.31123087810986","7.40267007754417","7.46432205379739","7.50868942956451","7.58453016517533","7.70991239295206","7.92248847703854","8.14688543220399","8.38703673545355","8.5643530301988","8.66231055449678","8.9112476647084","9.11625815156285","9.28484355952865","9.42218185946192","9.52685568070183","9.90959746595454","10.305441778818","10.7739394514568","11.3842298052824","12.1898096030542","12.2726943418098","12.4451090697619","12.5989920806336","12.6562535319514","12.5794991008378","12.1319646855067","11.6425514571021","11.1556143085453","10.7071598495894","10.2950537312315","10.1671615528428","10.0798618605655","10.0828582557275","10.1807186800895","10.3708696253284","10.3281836876901","10.2962554514011","10.2413793103448","10.144974278757","9.9901855252327","9.88458906240279","9.73724411854568","9.59027465105808","9.52402036750055","9.5603517186251","9.7436780125364","10.0219655636647",
"Australia","AUS","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","14.0084599542723","14.0614838863488","14.0599541471831","14.0208435850752","13.9622932165284","13.8968821361936","13.7355039095878","13.5668909308272","13.4054276574089","13.257537966025","13.1243291047492","13.2505600450497","13.3664525698128","13.4826266005021","13.6121641725798","13.7623690900663","13.9715048807023","14.1909975735914","14.4093835322873","14.6057141254214","14.7699754578031","14.9322138514898","15.0561494981768","15.1679132204377","15.3022129253524","15.47887607042","15.6707720729301","15.88078909695","16.1011980723122","16.3241666225096","16.5486490379048","16.8461542921732","17.1378472542336","17.4103259978814","17.6447001976985","17.8355258344917","18.0064470180941","18.13767950209","18.2443299344285","18.3522637758653","18.4831382324725","18.5842011041188","18.701558286718","18.8377591154504","18.9889152628236","19.1569873091127","19.2085401207589","19.269428586509","19.3807223762312","19.5883661906519","19.9115384742043","20.3752520503019","20.9126142028948","21.4931086694879","22.0721114164006","22.6281075467588","23.1635095763984","23.6754125317475",
"Austria","AUT","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","18.5196085788113","18.9231352937523","19.3325896262601","19.750158746986","20.1756883836729","20.6090616585751","21.1139004855911","21.594317278078","22.0376226858609","22.4227470752394","22.7370767160537","23.1265044804314","23.4117739931418","23.6045061692625","23.7206665562456","23.7683594165868","23.9824733448964","24.1417244468596","24.1888660271148","24.0328495654836","23.6381357233154","23.1985678570477","22.5353462130155","21.8043275840545","21.2121021330213","20.8670131217269","20.8697963976339","21.0677951452476","21.3796665798677","21.6799672088875","21.8956152694877","22.1876711676425","22.4119485581889","22.5666033501814","22.6455973422445","22.6400828545438","22.7336710419398","22.739032085132","22.6992838311408","22.6746250964682","22.7046805297879","22.8650021671199","23.0489499581426","23.2702797184402","23.5439762068771","23.8789667536999","24.3400598942639","24.8563498606913","25.3959839882688","25.9104978679831","26.373860988558","26.7748989210945","27.1296382237027","27.4594186326622","27.7810263134877","28.1035279952958","28.4517297393235","28.7849528312483",
"Azerbaijan","AZE","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","9.77404679194353","9.80706516118505","9.8858834623964","9.98144066036408","10.0560044266446","10.0916036239419","10.1943888941839","10.2548228769703","10.2734569791698","10.2485617936814","10.179965344831","10.0927036346049","9.94052328546652","9.74536494792865","9.53696988790774","9.33334106491598","9.19113835416881","9.05541587825869","8.90495959406508","8.70826400195285","8.45814963656071","8.25958748605679","8.02336070585599","7.779418514158","7.56155754984832","7.38814626779728","7.31862769600027","7.26752646442903","7.25555472994811","7.31606104342229","7.4672358660323","7.69020329145758","7.96367240469801","8.2487931993458","8.5009786506578","8.69980869356604","8.89759938516785","9.02735946405306","9.11436599954137","9.19559174011357","9.28520478684959","9.50754000871262","9.73162630600508","9.89869157620242","9.93146842133308","9.80263513795143","9.60431698918033","9.29581472237485","8.93381610434358","8.58246741253504","8.27632100557007","8.1305397435833","8.01648302422286","7.95167059751341","7.95602679435718","8.04204539182622","8.24116946399567","8.51116157728265",
"Burundi","BDI","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.5129749040425","5.59213228571807","5.66235041825593","5.71655349480781","5.74472380755854","5.74149537564172","5.81676734833156","5.85444500600847","5.86056540264267","5.84230126415376","5.80533524949242","5.97346554754459","6.11841505463037","6.23969538315088","6.33441063780866","6.39885592400731","6.38986072711299","6.36093877265243","6.31953722607067","6.27056185338774","6.21559328433661","6.25050763367611","6.26906445100378","6.27368611321365","6.26683009424853","6.25084961652415","6.27879421800087","6.29389566581026","6.29577642913016","6.28153011523323","6.25010033237549","6.30521770282513","6.32448014247316","6.31176528675587","6.27310885505076","6.21201462247592","6.30027969909487","6.36728680638525","6.40583324460752","6.40717425844614","6.36630134390296","6.22681146183064","6.07270895266494","5.91099826211394","5.74799480575933","5.58760094954581","5.46116334161833","5.33727500892752","5.21732376367809","5.10123894694511","4.99215628148625","4.92004372410539","4.84449962707246","4.78004958943455","4.74402986772205","4.74450919745326","4.80561985244744","4.88596146974102",
